"FID";"OBJECTID";"AmbulanceR";"BikeAge_Gr";"Bike_Age";"Bike_Alc_D";"Bike_Dir";"Bike_Injur";"Bike_Pos";"Bike_Race";"Bike_Sex";"City";"County";"CrashAlcoh";"CrashDay";"Crash_Date";"Crash_Grp";"Crash_Hour";"Crash_Loc";"Crash_Mont";"Crash_Time";"Crash_Type";"Crash_Ty_1";"Crash_Year";"Crsh_Sevri";"Developmen";"DrvrAge_Gr";"Drvr_Age";"Drvr_Alc_D";"Drvr_EstSp";"Drvr_Injur";"Drvr_Race";"Drvr_Sex";"Drvr_VehTy";"ExcsSpdInd";"Hit_Run";"Light_Cond";"Locality";"Num_Lanes";"Num_Units";"Rd_Charact";"Rd_Class";"Rd_Conditi";"Rd_Config";"Rd_Defects";"Rd_Feature";"Rd_Surface";"Region";"Rural_Urba";"Speed_Limi";"Traff_Cntr";"Weather";"Workzone_I";"Location"
"21";131;132;"No";"70+";NA;"No";NA;"O: No Injury";NA;"Black";"Male";"Rocky Mount";"Nash";"No";"01-01-06";2007-03-17;"Crossing Paths - Other Circumstances";12;"Intersection";"01-03-01";1-01-01 12:36:58;"Sign-Controlled Intersection - Other /";199148;2007;"O: No Injury";"Residential";"25-29";29;"No";"0-5 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Grade";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Coastal";"Urban";"30 - 35  MPH";"Stop Sign";"Clear";"No";"35.958202, -77.80243"
"22";133;134;"No";"60-69";65;"No";"Facing Traffic";"O: No Injury";"Sidewalk / Crosswalk / Driveway Crossing";"White";"Male";"Raleigh";"Wake";"No";"01-01-07";2007-03-18;"Motorist Failed to Yield - Signalized Intersection";12;"Intersection";"01-03-01";1-01-01 12:08:58;"Motorist Drive Out - Right Turn on Red";132151;2007;"O: No Injury";"Commercial";"40-49";41;"No";"0-5 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"9 or more lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"Four-Way Intersection";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"Stop And Go Signal";"Clear";"No";"35.78048, -78.64347"
"23";135;136;"Yes";"40-49";45;"No";"Facing Traffic";"C: Possible Injury";"Sidewalk / Crosswalk / Driveway Crossing";"Black";"Male";"Lumberton";"Robeson";"Yes";NA;2007-03-19;"Motorist Failed to Yield - Sign-Controlled Intersection";19;"Intersection";"01-03-01";1-01-01 19:36:58;"Motorist Drive Out - Sign-Controlled Intersection";132141;2007;"C: Possible Injury";"Residential";"20-24";22;"Yes";"0-5 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"Yes";"Daylight";"Urban (>70% Developed)";"6 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"T-Intersection";"Smooth Asphalt";"Coastal";"Urban";"20 - 25  MPH";"Stop Sign";"Clear";"No";"34.608913, -79.022606"
"24";138;139;"No";"15-Nov";13;"No";"Facing Traffic";"B: Evident Injury";NA;"Black";"Female";"Raleigh";"Wake";"No";"01-01-02";2007-03-20;"Motorist Left Turn / Merge";19;"Intersection";"01-03-01";1-01-01 18:59:58;"Motorist Left Turn - Same Direction";192211;2007;"B: Evident Injury";"Residential";"50-59";56;"No";"16-20 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"20 - 25  MPH";"Flashing Signal With Stop Sign";"Clear";"No";"35.776352, -78.62084"
"25";141;142;"Yes";"16-19";19;"No";"With Traffic";"K: Killed";"Travel Lane";"White";"Male";"Jacksonville";"Onslow";"No";"01-01-04";2007-03-22;"Motorist Overtaking Bicyclist";0;"Non-Intersection";"01-03-01";1-01-01 00:14:58;"Motorist Overtaking - Undetected Bicyclist";311231;2007;"K: Killed";"Commercial";"30-39";36;"No";"51-55 mph";"O: No Injury";"White";"Male";"Pickup";"No";"No";"Dark - Roadway Not Lighted";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"US Route";"Dry";"One-Way, Not Divided";"None";"Bridge";"Smooth Asphalt";"Coastal";"Urban";"50 - 55  MPH";"No Control Present";"Clear";"No";"34.747746, -77.40832"
"26";151;152;"No";"10-Jun";6;"No";"Not Applicable";"C: Possible Injury";NA;"White";"Male";"Gastonia";"Gaston";"No";NA;2007-03-26;"Bicyclist Failed to Yield - Midblock";16;"Non-Intersection";"01-03-01";1-01-01 16:51:58;"Bicyclist Ride Out - Midblock -";393319;2007;"C: Possible Injury";"Residential";"25-29";26;"No";"26-30 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"No Control Present";"Clear";"No";"35.26428, -81.21638"
"27";154;155;"Yes";"15-Nov";12;"No";"Not Applicable";"B: Evident Injury";"Driveway / Alley";"White";"Male";"None - Rural Crash";"Henderson";"Yes";"01-01-07";2007-03-25;"Bicyclist Failed to Yield - Midblock";12;"Non-Intersection";"01-03-01";1-01-01 12:28:58;"Bicyclist Ride Out - Residential Driveway";353311;2007;"B: Evident Injury";"Farms, Woods, Pastures";"40-49";45;"Yes";"26-30 mph";"O: No Injury";"White";"Male";"Pickup";"No";"No";"Daylight";"Mixed (30% To 70% Developed)";"2 lanes";2;"Straight - Level";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Gravel";"Mountains";"Rural";"50 - 55  MPH";"No Control Present";"Clear";"No";"35.252415, -82.500824"
"28";162;163;"Yes";"40-49";46;"Yes";"Not Applicable";"A: Disabling Injury";"Non-Roadway";"Black";"Male";"Wilmington";"New Hanover";"Yes";"01-01-04";2007-03-29;"Bicyclist Failed to Yield - Midblock";17;"Non-Intersection";"01-03-01";1-01-01 17:13:58;"Bicyclist Ride Out - Commercial Driveway / Alley";363312;2007;"A: Disabling Injury";"Commercial";"20-24";23;"No";"26-30 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"3 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"Driveway, Public";"Coarse Asphalt";"Coastal";"Urban";"40 - 45  MPH";"No Control Present";"Clear";"No";"34.199417, -77.8706"
"29";164;165;"Yes";"30-39";35;"No";"Facing Traffic";"C: Possible Injury";"Bike Lane / Paved Shoulder";"White";"Male";"None - Rural Crash";"Dare";"No";"01-01-05";2007-03-30;"Motorist Failed to Yield - Midblock";11;"Non-Intersection";"01-03-01";1-01-01 11:14:58;"Motorist Drive Out - Commercial Driveway / Alley";322322;2007;"C: Possible Injury";"Residential";"40-49";49;"No";"0-5 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"NC Route";"Dry";"Two-Way, Not Divided";"None";"Driveway, Public";"Coarse Asphalt";"Coastal";"Rural";NA;"No Control Present";"Clear";"No";"35.353954, -75.50303"
"30";165;166;"No";"15-Nov";14;"No";"Facing Traffic";"O: No Injury";NA;"Black";"Male";"Raleigh";"Wake";"No";"01-01-04";2007-03-29;"Bicyclist Failed to Yield - Signalized Intersection";19;"Intersection-Related";"01-03-01";1-01-01 19:33:58;"Bicyclist Ride Out - Signalized  Intersection";292153;2007;"O: No Injury";"Commercial";"30-39";33;"No";"0-5 mph";"O: No Injury";"White";"Female";"Sport Utility";"No";"No";"Dusk";"Urban (>70% Developed)";"7 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Divided, Unprotected Median";"None";"No Special Feature";"Coarse Asphalt";"Piedmont";"Urban";"40 - 45  MPH";"Stop And Go Signal";"Clear";"No";"35.84979, -78.5809"
"31";186;187;"Yes";"10-Jun";7;"No";"Not Applicable";"C: Possible Injury";"Non-Roadway";"Black";"Male";"Winston-Salem";"Forsyth";"No";"01-01-03";2007-04-04;"Bicyclist Failed to Yield - Midblock";18;"Non-Intersection";"01-04-01";1-01-01 18:08:58;"Bicyclist Ride Out - Other Midblock";363318;2007;"C: Possible Injury";"Residential";"30-39";30;"No";"21-25 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";NA;2;"Straight - Level";"Local Street";"Dry";"Two-Way, Divided, Unprotected Median";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"20 - 25  MPH";"No Control Present";"Clear";"No";"36.122974, -80.22263"
