"FID";"OBJECTID";"AmbulanceR";"BikeAge_Gr";"Bike_Age";"Bike_Alc_D";"Bike_Dir";"Bike_Injur";"Bike_Pos";"Bike_Race";"Bike_Sex";"City";"County";"CrashAlcoh";"CrashDay";"Crash_Date";"Crash_Grp";"Crash_Hour";"Crash_Loc";"Crash_Mont";"Crash_Time";"Crash_Type";"Crash_Ty_1";"Crash_Year";"Crsh_Sevri";"Developmen";"DrvrAge_Gr";"Drvr_Age";"Drvr_Alc_D";"Drvr_EstSp";"Drvr_Injur";"Drvr_Race";"Drvr_Sex";"Drvr_VehTy";"ExcsSpdInd";"Hit_Run";"Light_Cond";"Locality";"Num_Lanes";"Num_Units";"Rd_Charact";"Rd_Class";"Rd_Conditi";"Rd_Config";"Rd_Defects";"Rd_Feature";"Rd_Surface";"Region";"Rural_Urba";"Speed_Limi";"Traff_Cntr";"Weather";"Workzone_I";"Location"
"2999";127;128;"Yes";"30-39";39;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"Hispanic";"Female";"None - Rural Crash";"Hoke";"No";"01-01-07";2012-04-01;"Motorist Overtaking Bicyclist";10;"Non-Intersection";"01-04-01";1-01-01 10:06:58;"Motorist Overtaking - Misjudged Space";NA;2012;"C: Possible Injury";"Farms, Woods, Pastures";"0-19";16;"No";"41-45 mph";"O: No Injury";"Black";"Female";"Sport Utility";"No";"No";"Daylight";"Rural (<30% Developed)";"2 lanes";2;"Curve - Grade";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Rural";"40 - 45  MPH";"Double Yellow Line, No Passing Zone";"Clear";"No";"34.99111, -79.1668"
"3000";128;129;"Yes";"20-24";23;"No";"Facing Traffic";"A: Disabling Injury";"Travel Lane";"White";"Male";"None - Rural Crash";"Yadkin";"No";"01-01-06";2012-03-03;"Head-On";16;"Non-Intersection";"01-03-01";1-01-01 16:01:58;"Head-On - Bicyclist";NA;2012;"A: Disabling Injury";"Farms, Woods, Pastures";"60-69";63;"No";"31-35 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Daylight";"Rural (<30% Developed)";"2 lanes";2;"Straight - Level";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Mountains";"Rural";"50 - 55  MPH";"Human Control";"Clear";"No";"36.1718, -80.4778"
"3001";307;308;"Yes";"30-39";35;"No";"With Traffic";"C: Possible Injury";"Bike Lane / Paved Shoulder";"White";"Male";"Chapel Hill";"Orange";"Yes";"01-01-05";2012-05-18;"Motorist Right Turn / Merge";16;"Non-Intersection";"01-05-01";1-01-01 16:02:58;"Motorist Right Turn - Same Direction";NA;2012;"C: Possible Injury";"Residential";"20-24";22;"Yes";"16-20 mph";"O: No Injury";"White";"Male";NA;"No";"Yes";"Daylight";"Urban (>70% Developed)";"4 lanes";2;"Straight - Grade";"NC Route";"Dry";"Two-Way, Divided, Unprotected Median";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"Double Yellow Line, No Passing Zone";"Cloudy";"No";"35.92287, -79.055"
"3002";315;316;"No";"40-49";45;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"White";"Female";"None - Rural Crash";"Henderson";"No";"01-01-06";2012-05-26;"Motorist Overtaking Bicyclist";13;"Non-Intersection";"01-05-01";1-01-01 13:44:58;"Motorist Overtaking - Misjudged Space";NA;2012;"C: Possible Injury";"Residential";"70";70;"No";"16-20 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Daylight";"Rural (<30% Developed)";"2 lanes";2;"Straight - Grade";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Mountains";"Rural";"30 - 35  MPH";"Double Yellow Line, No Passing Zone";"Clear";"No";"35.39594, -82.3931"
"3003";317;318;"Yes";"15-Nov";13;"No";"With Traffic";"A: Disabling Injury";"Travel Lane";"Black";"Male";"None - Rural Crash";"Dare";"No";NA;2012-05-28;"Bicyclist Failed to Yield - Sign-Controlled Intersection";13;"Intersection";"01-05-01";1-01-01 13:11:58;"Bicyclist Ride Through - Sign-Controlled Intersection";NA;2012;"A: Disabling Injury";"Residential";"40-49";44;"No";"21-25 mph";"O: No Injury";"Black";"Female";"Van";"No";"No";"Daylight";"Mixed (30% To 70% Developed)";"2 lanes";2;"Straight - Level";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"T-Intersection";"Coarse Asphalt";"Coastal";"Rural";"20 - 25  MPH";"Double Yellow Line, No Passing Zone";"Cloudy";"No";"35.90847, -75.6807"
"3004";318;319;"Yes";"40-49";46;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"Black";"Male";"Greensboro";"Guilford";"No";"01-01-07";2012-05-27;"Bicyclist Failed to Yield - Signalized Intersection";14;"Intersection";"01-05-01";1-01-01 14:49:58;"Bicyclist Ride Through - Signalized Intersection";NA;2012;"C: Possible Injury";"Commercial";"50-59";57;"No";"31-35 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"Yes";"Daylight";"Urban (>70% Developed)";"5 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Divided, Positive Median Barrier";"None";"Four-Way Intersection";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"Stop And Go Signal";"Clear";"No";"36.09728, -79.8175"
"3005";320;321;"Yes";"20-24";21;"No";"With Traffic";"A: Disabling Injury";"Travel Lane";"Black";"Male";"Ahoskie";"Hertford";"No";NA;2012-02-13;"Other / Unusual Circumstances";23;"Non-Intersection";"01-02-01";1-01-01 23:42:58;"Unusual Circumstances";NA;2012;"A: Disabling Injury";"Residential";"25-29";26;"No";"31-35 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Dark - Lighted Roadway";"Urban (>70% Developed)";"2 lanes";2;"Straight - Grade";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Rural";"20 - 25  MPH";"No Control Present";"Clear";"No";"36.28947, -76.9933"
"3006";326;327;"Yes";"25-29";28;"No";"Facing Traffic";"B: Evident Injury";"Sidewalk / Crosswalk / Driveway Crossing";"White";"Male";"Greenville";"Pitt";"No";NA;2012-05-14;"Motorist Failed to Yield - Sign-Controlled Intersection";17;"Intersection";"01-05-01";1-01-01 17:16:58;"Motorist Drive Out - Sign-Controlled Intersection";NA;2012;"B: Evident Injury";"Institutional";"25-29";26;"No";"0-5 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Daylight";"Mixed (30% To 70% Developed)";"1 lane";2;"Straight - Level";"Local Street";"Dry";"One-Way, Not Divided";"None";"T-Intersection";"Smooth Asphalt";"Coastal";"Urban";NA;"Stop Sign";"Cloudy";"No";"35.61072, -77.4014"
"3007";1002;1003;"Yes";"30-39";32;"Yes";"Facing Traffic";"B: Evident Injury";"Travel Lane";"Hispanic";"Male";"Charlotte";"Mecklenburg";"Yes";NA;2008-12-22;"Crossing Paths - Other Circumstances";5;"Intersection";"01-12-01";1-01-01 05:54:58;"Signalized Intersection - Other /";112158;2008;"B: Evident Injury";"Commercial";"50-59";50;"No";"41-45 mph";"O: No Injury";"Black";"Male";"Passenger Car";"No";"No";"Dusk";"Urban (>70% Developed)";"6 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Divided, Positive Median Barrier";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"40 - 45  MPH";"Stop And Go Signal";"Clear";"No";"0.0, 0.0"
"3008";1013;1014;"Yes";"40-49";44;"Yes";"With Traffic";"C: Possible Injury";"Travel Lane";"White";"Male";"Eden";"Rockingham";"Yes";"01-01-04";2008-07-03;"Bicyclist Left Turn / Merge";17;"Non-Intersection";"01-07-01";1-01-01 17:09:58;"Bicyclist Left Turn - Same Direction";311221;2008;"C: Possible Injury";"Residential";"25-29";29;"No";"26-30 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"20 - 25  MPH";"No Control Present";"Clear";"No";"0.0, 0.0"
"3009";1014;1015;"Yes";"15-Nov";11;"No";"With Traffic";"B: Evident Injury";"Travel Lane";"Black";"Male";"Greensboro";"Guilford";"No";"01-01-05";2008-08-22;"Loss of Control / Turning Error";14;"Intersection";"01-08-01";1-01-01 14:47:58;"Bicyclist Lost Control - Mechanical Problems";111121;2008;"B: Evident Injury";"Residential";"30-39";34;"No";"16-20 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Grade";"Local Street";"Dry";"Two-Way, Not Divided";"None";"Related To Intersection";"Smooth Asphalt";"Piedmont";"Urban";"20 - 25  MPH";"Stop Sign";"Clear";"No";"0.0, 0.0"
"3010";1016;1017;"No";"15-Nov";15;"No";"Facing Traffic";"C: Possible Injury";"Sidewalk / Crosswalk / Driveway Crossing";"Black";"Male";"Wilson";"Wilson";"No";"01-01-02";2008-09-23;"Motorist Failed to Yield - Sign-Controlled Intersection";19;"Intersection";"01-09-01";1-01-01 19:50:58;"Motorist Drive Out - Sign-Controlled Intersection";132141;2008;"C: Possible Injury";"Residential";"30-39";37;"No";"0-5 mph";"O: No Injury";"Black";"Female";"Sport Utility";"No";"No";"Dusk";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Urban";"30 - 35  MPH";"Stop Sign";"Clear";"No";"0.0, 0.0"
"3011";1;2;"Yes";"40-49";49;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"White";"Male";"Cary";"Wake";"No";"01-01-06";2009-01-10;"Motorist Failed to Yield - Sign-Controlled Intersection";12;"Intersection";NA;1-01-01 12:17:58;"Motorist Drive Out - Sign-Controlled Intersection";111141;2009;"C: Possible Injury";"Commercial";"0-19";17;"No";"11-15 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"3 lanes";2;"Straight - Level";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"Four-Way Intersection";"Smooth Asphalt";"Piedmont";"Urban";"40 - 45  MPH";"Stop Sign";"Clear";"No";"35.78743, -78.87222"
"3012";4;5;"No";"30-39";36;"No";"With Traffic";"B: Evident Injury";"Travel Lane";"Hispanic";"Male";"Durham";"Durham";"No";"01-01-06";2009-01-24;"Motorist Failed to Yield - Sign-Controlled Intersection";7;"Intersection";NA;1-01-01 07:26:58;"Motorist Drive Through - Sign-Controlled Intersection";111143;2009;"B: Evident Injury";"Residential";"40-49";41;"No";"11-15 mph";"O: No Injury";"Black";"Female";"Sport Utility";"No";"No";"Dark - Roadway Not Lighted";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"Four-Way Intersection";"Coarse Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"Stop Sign";"Clear";"No";"35.992195, -78.813736"
"3013";12;13;"No";"50-59";53;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"Black";"Male";"None - Rural Crash";"Onslow";"No";"01-01-04";2009-01-08;"Motorist Left Turn / Merge";19;"Intersection";NA;1-01-01 19:14:58;"Motorist Left Turn - Same Direction";111211;2009;"C: Possible Injury";"Farms, Woods, Pastures";"50-59";55;"No";"16-20 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Dark - Roadway Not Lighted";"Rural (<30% Developed)";"5 lanes";2;"Straight - Level";"US Route";"Wet";"Two-Way, Not Divided";"None";"T-Intersection";"Coarse Asphalt";"Coastal";"Rural";"40 - 45  MPH";"No Control Present";"Cloudy";"No";"34.75704, -77.480286"
"3014";16;17;"Yes";"40-49";44;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"Black";"Male";"None - Rural Crash";"Martin";"No";"01-01-05";2009-01-09;"Motorist Overtaking Bicyclist";17;"Non-Intersection";NA;1-01-01 17:57:58;"Motorist Overtaking - Bicyclist Swerved";311235;2009;"C: Possible Injury";"Farms, Woods, Pastures";"50-59";58;"No";"41-45 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Dark - Roadway Not Lighted";"Rural (<30% Developed)";"2 lanes";2;"Straight - Level";"NC Route";"Wet";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Rural";"50 - 55  MPH";"Double Yellow Line, No Passing Zone";"Cloudy";"No";"36.023735, -77.379196"
"3015";17;18;"No";"20-24";24;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"White";"Male";"Charlotte";"Mecklenburg";"No";NA;2009-01-12;"Motorist Left Turn / Merge";7;"Intersection";NA;1-01-01 07:55:58;"Motorist Left Turn - Opposite Direction";111212;2009;"C: Possible Injury";"Residential";"25-29";29;"No";"0-5 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"4 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"T-Intersection";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"Stop Sign";"Clear";"No";"35.216675, -80.8211"
"3016";28;29;"Yes";"40-49";48;"No";"With Traffic";"B: Evident Injury";"Travel Lane";"Black";"Male";"None - Rural Crash";"Anson";"No";"01-01-05";2009-01-23;"Motorist Overtaking Bicyclist";8;"Non-Intersection";NA;1-01-01 07:59:58;"Motorist Overtaking - Undetected Bicyclist";311231;2009;"B: Evident Injury";"Farms, Woods, Pastures";"60-69";63;"No";"51-55 mph";"O: No Injury";"White";"Male";"Tractor/Semi-Trailer";"No";"No";"Daylight";"Rural (<30% Developed)";"4 lanes";2;"Straight - Level";"US Route";"Dry";"Two-Way, Divided, Unprotected Median";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Rural";"50 - 55  MPH";"No Control Present";"Clear";"No";"34.98934, -80.155876"
"3017";31;32;"Yes";"16-19";18;"No";"Not Applicable";"B: Evident Injury";"Non-Roadway";"Black";"Male";"None - Rural Crash";"Cumberland";"No";"01-01-04";2009-02-19;"Crossing Paths - Other Circumstances";17;"Intersection";"01-02-01";1-01-01 17:34:58;"Crossing Paths - Uncontrolled Intersection";163160;2009;"B: Evident Injury";"Residential";"50-59";54;"Missing";"41-45 mph";"O: No Injury";"Black";"Female";"Pickup";"No";"No";"Dark - Roadway Not Lighted";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"State Secondary Route";"Dry";"Two-Way, Not Divided";"None";"T-Intersection";"Coarse Asphalt";"Coastal";"Rural";"40 - 45  MPH";"Stop Sign";"Clear";"No";"35.144928, -78.91045"
"3018";32;33;"Yes";"40-49";49;"No";"With Traffic";"B: Evident Injury";"Travel Lane";"Black";"Male";"Charlotte";"Mecklenburg";"No";"01-01-04";2009-01-29;"Motorist Failed to Yield - Sign-Controlled Intersection";10;"Intersection";NA;1-01-01 10:20:58;"Motorist Drive Through - Sign-Controlled Intersection";111143;2009;"B: Evident Injury";"Residential";NA;NA;"Missing";"21-25 mph";"Injury";"/Missing";NA;NA;"No";"Yes";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"20 - 25  MPH";"Stop Sign";"Clear";"No";"35.23086, -80.81706"
"3019";33;34;"Yes";"70+";NA;"No";"With Traffic";"A: Disabling Injury";"Travel Lane";"White";"Male";"None - Rural Crash";"Currituck";"No";"01-01-05";2009-02-06;"Bicyclist Failed to Yield - Midblock";14;"Non-Intersection";"01-02-01";1-01-01 14:29:58;"Bicyclist Ride Out - Midblock -";311319;2009;"A: Disabling Injury";"Residential";"25-29";29;"No";"0-5 mph";"O: No Injury";"White";"Male";"Sport Utility";"No";"No";"Daylight";"Mixed (30% To 70% Developed)";"2 lanes";2;"Curve - Grade";"Public Vehicular Area";"Dry";"Two-Way, Not Divided";"None";"Driveway, Private";"Coarse Asphalt";"Coastal";"Rural";NA;"No Control Present";"Clear";"No";"36.34932, -75.82227"
"3020";34;35;"Yes";"40-49";49;"Yes";"Facing Traffic";"O: No Injury";"Sidewalk / Crosswalk / Driveway Crossing";"Black";"Male";"Raleigh";"Wake";"Yes";"01-01-05";2009-01-09;"Motorist Failed to Yield - Signalized Intersection";20;"Intersection";NA;1-01-01 20:28:58;"Motorist Drive Out - Signalized Intersection";132152;2009;"O: No Injury";"Commercial";"20-24";24;"No";"31-35 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Dark - Lighted Roadway";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"Stop And Go Signal";"Clear";"No";"35.780838, -78.647606"
"3021";35;36;"Yes";"10-Jun";9;"No";"With Traffic";"B: Evident Injury";"Travel Lane";"White";"Female";"Cary";"Wake";"No";"01-01-04";2009-02-26;"Bicyclist Failed to Yield - Sign-Controlled Intersection";16;"Intersection";"01-02-01";1-01-01 16:57:58;"Bicyclist Ride Through - Sign-Controlled Intersection";111144;2009;"B: Evident Injury";"Residential";"20-24";22;"No";"21-25 mph";"O: No Injury";"Black";"Male";"Passenger Car";"No";"No";"Daylight";"Mixed (30% To 70% Developed)";"1 lane";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"T-Intersection";"Smooth Asphalt";"Piedmont";"Urban";"20 - 25  MPH";"Stop Sign";"Clear";"No";"35.82186, -78.88707"
"3022";36;37;"Yes";"20-24";20;"No";"Not Applicable";"B: Evident Injury";"Non-Roadway";"Black";"Male";"Raleigh";"Wake";"No";"01-01-06";2009-01-24;"Non-Roadway";16;"Non-Roadway";NA;1-01-01 16:45:58;"Non-Roadway";460910;2009;"B: Evident Injury";"Residential";"30-39";35;"No";"16-20 mph";"O: No Injury";"Black";"Male";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";NA;2;"Straight - Level";"Public Vehicular Area";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"5 - 15 MPH";"No Control Present";"Clear";"No";"35.89806, -78.807625"
"3023";39;40;"No";"20-24";24;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"Black";"Male";"Wallace";"Duplin";"No";"01-01-06";2009-02-07;"Motorist Overtaking Bicyclist";12;"Intersection";"01-02-01";1-01-01 12:39:58;"Motorist Overtaking - Bicyclist Swerved";111235;2009;"C: Possible Injury";"Commercial";"60-69";64;"No";"26-30 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Daylight";"Mixed (30% To 70% Developed)";"2 lanes";2;"Straight - Level";"State Secondary Route";"Dry";"Two-Way, Divided, Unprotected Median";"None";"Four-Way Intersection";"Coarse Asphalt";"Coastal";"Rural";"30 - 35  MPH";"No Control Present";"Clear";"No";"34.73573, -77.99819"
"3024";46;47;"No";"40-49";43;"No";"With Traffic";"C: Possible Injury";"Travel Lane";"Native American";"Male";"None - Rural Crash";"Robeson";"No";"01-01-04";2009-03-05;"Motorist Overtaking Bicyclist";17;"Non-Intersection";"01-03-01";1-01-01 17:42:58;"Motorist Overtaking - Undetected Bicyclist";311231;2009;"C: Possible Injury";"Residential";"25-29";26;"No";"51-55 mph";"O: No Injury";"Black";"Female";"Sport Utility";"No";"No";"Daylight";"Mixed (30% To 70% Developed)";"2 lanes";2;"Straight - Level";"NC Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Rural";"50 - 55  MPH";"No Control Present";"Clear";"No";"34.848984, -79.128204"
"3025";50;51;"Yes";"20-24";24;"No";"Facing Traffic";"C: Possible Injury";"Sidewalk / Crosswalk / Driveway Crossing";"Black";"Male";"Concord";"Cabarrus";"No";"01-01-02";2009-02-17;"Motorist Failed to Yield - Midblock";15;"Non-Intersection";"01-02-01";1-01-01 15:24:58;"Motorist Drive Out - Commercial Driveway / Alley";332322;2009;"C: Possible Injury";"Commercial";"70+";NA;"No";"0-5 mph";"O: No Injury";"White";"Male";"Pickup";"No";"No";"Daylight";"Urban (>70% Developed)";"4 lanes";2;"Straight - Level";"US Route";"Dry";"Two-Way, Divided, Unprotected Median";"None";"T-Intersection";"Coarse Asphalt";"Piedmont";"Urban";"40 - 45  MPH";"No Control Present";"Clear";"No";"35.3951, -80.614944"
"3026";51;52;"Yes";"50-59";58;"No";"With Traffic";"A: Disabling Injury";"Travel Lane";"White";"Male";"Winston-Salem";"Forsyth";"No";"01-01-06";2009-02-21;"Motorist Overtaking Bicyclist";19;"Non-Intersection";"01-02-01";1-01-01 19:38:58;"Motorist Overtaking - Other /";311239;2009;"A: Disabling Injury";"Commercial";"50-59";51;"No";"31-35 mph";"O: No Injury";"White";"Female";"Passenger Car";"No";"No";"Dark - Lighted Roadway";"Urban (>70% Developed)";"4 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"No Control Present";"Clear";"No";"36.079838, -80.33576"
"3027";54;55;"Yes";"50-59";52;"No";"Facing Traffic";"B: Evident Injury";"Travel Lane";"Black";"Male";"Matthews";"Mecklenburg";"No";NA;2009-02-23;"Motorist Failed to Yield - Sign-Controlled Intersection";15;"Intersection";"01-02-01";1-01-01 15:54:58;"Motorist Drive Out - Sign-Controlled Intersection";112141;2009;"B: Evident Injury";"Commercial";"30-39";34;"No";"0-5 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"4 lanes";2;"Straight - Grade";"NC Route";"Dry";"Two-Way, Divided, Unprotected Median";"None";"T-Intersection";"Smooth Asphalt";"Piedmont";"Urban";"20 - 25  MPH";"Stop Sign";"Clear";"No";"35.12397, -80.708176"
"3028";76;77;"Yes";"10-Jun";9;"No";"Not Applicable";"B: Evident Injury";"Multi-use Path";"Black";"Male";"Charlotte";"Mecklenburg";"No";"01-01-02";2009-03-17;"Bicyclist Failed to Yield - Midblock";17;"Non-Intersection";"01-03-01";1-01-01 17:38:58;"Bicyclist Ride Out - Other Midblock";343318;2009;"B: Evident Injury";"Residential";"60-69";69;"No";"16-20 mph";"O: No Injury";"White";"Female";"Van";"No";"No";"Daylight";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Piedmont";"Urban";"20 - 25  MPH";"No Control Present";"Clear";"No";"35.381763, -80.77205"
"3029";83;84;"Yes";"16-19";19;"No";NA;"B: Evident Injury";NA;"White";"Male";"Andrews";"Cherokee";"No";"01-01-05";2009-03-06;"Other /  - Insufficient Details";19;"Location";"01-03-01";1-01-01 19:17:58;"Location";999980;2009;"B: Evident Injury";"Commercial";"30-39";30;"No";"31-35 mph";"O: No Injury";"White";"Male";"Passenger Car";"No";"No";"Dark - Lighted Roadway";"Mixed (30% To 70% Developed)";"3 lanes";2;"Straight - Level";"US Route";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Smooth Asphalt";"Mountains";"Rural";"30 - 35  MPH";"No Control Present";"Clear";"No";"35.200768, -83.83379"
"3030";84;85;"Yes";"40-49";47;"No";"With Traffic";"B: Evident Injury";"Travel Lane";"Black";"Male";"Durham";"Durham";"No";"01-01-06";2009-04-04;"Motorist Overtaking Bicyclist";3;"Intersection";"01-04-01";1-01-01 03:29:58;"Motorist Overtaking - Other /";111239;2009;"B: Evident Injury";"Residential";NA;NA;"Missing";"11-15 mph";"Injury";"/Missing";NA;"Passenger Car";"No";"Yes";"Dark - Lighted Roadway";"Urban (>70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Concrete";"Piedmont";"Urban";"30 - 35  MPH";"Stop And Go Signal";"Clear";"No";"36.00718, -78.88549"
"3031";86;87;"No";"20-24";24;"No";"With Traffic";"B: Evident Injury";"Travel Lane";"White";"Male";"Greensboro";"Guilford";"No";"01-01-03";2009-03-25;"Motorist Left Turn / Merge";15;"Intersection";"01-03-01";1-01-01 15:20:58;"Motorist Left Turn - Opposite Direction";111212;2009;"B: Evident Injury";"Residential";"60-69";60;"No";"11-15 mph";"O: No Injury";"White";"Male";"Single Unit Truck (2-Axle, 6-Tire)";"No";"No";"Daylight";"Urban (>70% Developed)";"7 lanes";2;"Straight - Level";"Local Street";"Wet";"Two-Way, Not Divided";"None";"T-Intersection";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"Stop And Go Signal";"Rain";"No";"36.053383, -79.84245"
"3032";90;91;"No";"10-Jun";10;"No";"Not Applicable";"C: Possible Injury";"Driveway / Alley";"White";"Male";"None - Rural Crash";"Caldwell";"No";"01-01-05";2009-04-03;"Non-Roadway";18;"Non-Roadway";"01-04-01";1-01-01 18:01:58;"Non-Roadway";450910;2009;"C: Possible Injury";"Residential";"30-39";33;"No";"0-5 mph";"O: No Injury";"White";"Female";"Van";"No";"No";"Daylight";"Rural (<30% Developed)";"1 lane";2;"Straight - Grade";"Private Road, Driveway";"Dry";"One-Way, Not Divided";"None";"Driveway, Public";"Gravel";"Mountains";"Rural";"5 - 15 MPH";"No Control Present";"Clear";"No";"35.827843, -81.58072"
"3033";94;95;"Yes";"15-Nov";12;"No";"Facing Traffic";"C: Possible Injury";"Travel Lane";"White";"Male";"Raleigh";"Wake";"No";"01-01-05";2009-02-27;"Crossing Paths - Other Circumstances";17;"Intersection";"01-02-01";1-01-01 17:40:58;"Sign-Controlled Intersection - Other /";112148;2009;"C: Possible Injury";"Residential";"50-59";56;"No";"21-25 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Dusk";"Urban (>70% Developed)";"2 lanes";2;"Curve - Grade";"Local Street";"Dry";"Two-Way, Not Divided";"Other";"T-Intersection";"Coarse Asphalt";"Piedmont";"Urban";"20 - 25  MPH";"Stop Sign";"Cloudy";"No";"35.807587, -78.550545"
"3034";97;98;"No";"20-24";21;"No";"Facing Traffic";"O: No Injury";"Travel Lane";"Black";"Male";"Washington";"Beaufort";"No";"01-01-04";2009-03-19;"Motorist Overtaking Bicyclist";16;"Non-Intersection";"01-03-01";1-01-01 16:30:58;"Motorist Overtaking - Other /";312239;2009;"O: No Injury";"Residential";"50-59";53;"No";"6-10 mph";"O: No Injury";"Black";"Female";"Passenger Car";"No";"No";"Daylight";"Urban (>70% Developed)";"1 lane";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"No Special Feature";"Coarse Asphalt";"Coastal";"Urban";"30 - 35  MPH";"No Control Present";"Clear";"No";"35.55009, -77.055565"
"3035";98;99;"Yes";"15-Nov";15;"No";"Facing Traffic";"B: Evident Injury";"Travel Lane";"Black";"Male";"Charlotte";"Mecklenburg";"No";"01-01-03";2009-04-01;"Crossing Paths - Other Circumstances";20;"Intersection";"01-04-01";1-01-01 20:26:58;"Sign-Controlled Intersection - Other /";112148;2009;"B: Evident Injury";"Commercial";NA;NA;"Missing";"6-10 mph";"Injury";"/Missing";NA;NA;"No";"Yes";"Dark - Lighted Roadway";"Mixed (30% To 70% Developed)";"2 lanes";2;"Straight - Level";"Local Street";"Dry";"Two-Way, Not Divided";"None";"Four-Way Intersection";"Smooth Asphalt";"Piedmont";"Urban";"30 - 35  MPH";"No Control Present";"Clear";"No";"35.280754, -80.793785"
